ATK sifra;Oznaka;Nezasticeno ime lijeka;DDD i jed mj;Cijena u kn za DDD;Cijena u kn za DDD s PDV-om;Nacin primjene;Nositelj odobrenja;Proizvodac;Zasticeno ime lijeka;Oblik, jacina i pakiranje lijeka;Cijena u kn za jed obl;Cijena u kn za jed obl s PDV-om;Cijena u kn za orig pak;Cijena u kn za orig pak s PDV-om;R;Oznaka indikacije;Oznaka smjernice;Sifra grupe;Grupa;Sifra podgrupe;Podgrupa;Lista
A10BB09 132;;gliklazid;60 mg;0.62;0.65;O;KRKA-FARMA d.o.o.;Krka d.d., TAD Pharma GmbH;Gliclada;tbl. s prilag. oslob. 30x60 mg;0.62;0.65;18.7;19.64;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB09 133;;gliklazid;60 mg;0.62;0.65;O;KRKA-FARMA d.o.o.;Krka d.d., TAD Pharma GmbH;Gliclada;tbl. s prilag. oslob. 60x60 mg;0.62;0.65;37.1;38.96;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB09 134;;gliklazid;60 mg;0.5;0.52;O;KRKA-FARMA d.o.o.;Krka d.d.;Gliclada;tbl. s prilag. osl. 30x90 mg;0.74;0.78;22.28;23.39;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB09 182;;gliklazid;60 mg;0.69;0.72;O;Genericon Pharma Gesellschaft m.b.H.;Genericon Pharma GmbH;Gliclazid Genericon;tbl. s prod. oslob. 60x30 mg;0.34;0.36;20.62;21.65;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB09 183;;gliklazid;60 mg;0.62;0.65;O;Genericon Pharma Gesellschaft m.b.H.;Genericon Pharma GmbH;Gliclazid Genericon;tbl. s prod. oslob. 120x30 mg;0.31;0.32;37.12;38.98;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 111;;glimepirid;2 mg;0.62;0.65;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Betaglid;tbl. 30x2 mg;0.62;0.65;18.7;19.64;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 112;;glimepirid;2 mg;0.56;0.59;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Betaglid;tbl. 30x3 mg;0.84;0.88;25.25;26.51;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 116;;glimepirid;2 mg;0.85;0.89;O;Belupo d.d.;Belupo;Diapirid;tbl. 30x1 mg;0.42;0.45;12.72;13.36;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 117;;glimepirid;2 mg;0.62;0.65;O;Belupo d.d.;Belupo;Diapirid;tbl. 30x2 mg;0.62;0.65;18.6;19.53;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 118;;glimepirid;2 mg;0.56;0.59;O;Belupo d.d.;Belupo;Diapirid;tbl. 30x3 mg;0.84;0.88;25.25;26.51;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 121;;glimepirid;2 mg;0.61;0.64;O;Salvus d.o.o.;Sandoz-Lek;Dibiglim;tbl. 30x2 mg;0.61;0.64;18.4;19.32;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 122;;glimepirid;2 mg;0.56;0.59;O;Salvus d.o.o.;Sandoz-Lek;Dibiglim;tbl. 30x3 mg;0.84;0.88;25.25;26.51;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 125;;glimepirid;2 mg;0.76;0.79;O;Bosnalijek d.o.o.;JGL d.d.;Melpamid;tbl. 30x1 mg;0.38;0.4;11.34;11.91;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 126;;glimepirid;2 mg;0.55;0.58;O;Bosnalijek d.o.o.;JGL d.d.;Melpamid;tbl. 30x2 mg;0.55;0.58;16.47;17.29;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 127;;glimepirid;2 mg;0.5;0.53;O;Bosnalijek d.o.o.;JGL d.d.;Melpamid;tbl. 30x3 mg;0.76;0.79;22.68;23.81;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 131;;glimepirid;2 mg;0.85;0.89;O;KRKA-FARMA d.o.o.;Krka d.d.;Meglimid;tbl. 30x1 mg;0.42;0.45;12.72;13.36;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 132;;glimepirid;2 mg;0.87;0.91;O;KRKA-FARMA d.o.o.;Krka d.d.;Meglimid;tbl. 60x1 mg;0.38;0.4;22.91;24.06;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 133;;glimepirid;2 mg;0.61;0.64;O;KRKA-FARMA d.o.o.;Krka d.d.;Meglimid;tbl. 30x2 mg;0.61;0.64;18.4;19.32;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 134;;glimepirid;2 mg;0.62;0.65;O;KRKA-FARMA d.o.o.;Krka d.d.;Meglimid;tbl. 60x2 mg;0.62;0.65;37.1;38.96;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 135;;glimepirid;2 mg;0.56;0.59;O;KRKA-FARMA d.o.o.;Krka d.d.;Meglimid;tbl. 30x3 mg;0.84;0.88;25.25;26.51;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 136;;glimepirid;2 mg;0.56;0.59;O;KRKA-FARMA d.o.o.;Krka d.d.;Meglimid;tbl. 60x3 mg;0.85;0.89;50.83;53.37;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 137;;glimepirid;2 mg;0.46;0.48;O;KRKA-FARMA d.o.o.;Krka d.d.;Meglimid;tbl. 30x4 mg;0.92;0.97;27.7;29.09;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 138;;glimepirid;2 mg;0.45;0.47;O;KRKA-FARMA d.o.o.;Krka d.d.;Meglimid;tbl. 60x4 mg;0.9;0.95;54;56.7;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 145;;glimepirid;2 mg;0.61;0.64;O;PharmaS d.o.o.;PharmaS d.o.o.;Glimepirid PharmaS;tbl. 30x2 mg;0.61;0.64;18.4;19.32;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 146;;glimepirid;2 mg;0.62;0.65;O;PharmaS d.o.o.;PharmaS d.o.o.;Glimepirid PharmaS;tbl. 60x2 mg;0.62;0.65;37.1;38.96;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 147;;glimepirid;2 mg;0.56;0.59;O;PharmaS d.o.o.;PharmaS d.o.o.;Glimepirid PharmaS;tbl. 30x3 mg;0.84;0.88;25.25;26.51;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 148;;glimepirid;2 mg;0.56;0.59;O;PharmaS d.o.o.;PharmaS d.o.o.;Glimepirid PharmaS;tbl. 60x3 mg;0.85;0.89;50.83;53.37;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 161;;glimepirid;2 mg;0.62;0.65;O;sanofi - aventis Croatia d.o.o.;Sanofi-Aventis GmbH, Sanofi-Aventis S.p.A., Sanofi Winthrop Tours;Amaryl;tbl. 30x2 mg;0.62;0.65;18.7;19.64;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BB12 162;;glimepirid;2 mg;0.56;0.59;O;sanofi - aventis Croatia d.o.o.;Sanofi-Aventis GmbHSanofi-Aventis S.p.A.Sanofi Winthrop Tours;Amaryl;tbl. 30x3 mg;0.84;0.88;25.25;26.51;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BD02 171;;metformin + glibenklamid;2 tbl.;0;0;O;MERCK d.o.o.;Merck;Glucovance;tbl. film obl. 30x(500 mg +5 mg);0.63;0.66;18.75;19.69;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BD02 172;;metformin + glibenklamid;2 tbl.;1.24;1.3;O;MERCK d.o.o.;Merck;Glucovance;tbl. film obl. 30x(500 mg +2.5 mg);0.62;0.65;18.45;19.37;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BD05 161;;pioglitazon + metformin;;;;O;Takeda Pharma A/S;Takeda;Competact;tbl. film obl. 56x(15 mg+850 mg);2.5;2.62;139.86;146.85;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BD08 171;;vildagliptin + metformin;;;;O;Medochemie Ltd.;Medochemie Ltd.;Daltex;tbl. film obl. 60x(50 mg +1000 mg);1.47;1.54;88.14;92.55;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BG03 101;;pioglitazon;30 mg;4.87;5.11;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Pioglitazon Pliva tbl. 15 mg;tbl. 30x15 mg;2.44;2.56;73.05;76.7;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BG03 102;;pioglitazon;30 mg;3.66;3.84;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Pioglitazon Pliva tbl. 30 mg;tbl. 30x30 mg;3.66;3.84;109.7;115.19;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BG03 133;;pioglitazon;30 mg;3.66;3.84;O;Teva B.V.;Teva Pharmaceutical Works Private Limited Company;Pioglitazon Teva;tbl. 28x45 mg;5.49;5.76;153.59;161.27;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BG03 181;;pioglitazon;30 mg;4.87;5.11;O;Takeda Pharma A/S;Takeda;Actos;tbl. 28x15 mg;2.44;2.56;68.18;71.59;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BG03 182;;pioglitazon;30 mg;3.66;3.84;O;Takeda Pharma A/S;Takeda;Actos;tbl. 28x30 mg;3.66;3.84;102.39;107.51;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BH02 111;;vildagliptin;0.1 g;2.64;2.77;O;Belupo d.d.;Belupo d.d.;Agnis;tbl. 60x50 mg;1.32;1.39;79.22;83.18;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BH02 171;;vildagliptin;0.1 g;2.93;3.08;O;Medochemie Ltd.;Medochemie Ltd.;Dalmevin;tbl. 60x50 mg;1.47;1.54;88.02;92.42;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BJ01 061;;eksenatid;15 mcg;17.75;18.64;P;AstraZeneca AB;Lilly Pharma;Byetta;otop. za inj., brzig. napunj. 1x1.2 ml, 5 mcg/20 mcl (0.25 mg/ml);532.48;559.1;532.48;559.1;RS;;RA11;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BJ01 062;;eksenatid;15 mcg;17.75;18.64;P;AstraZeneca AB;Lilly Pharma;Byetta;otop. za inj., brizg. napunj. 1x2.4 ml, 10 mcg/40 mcl, (0.25 mg/ml);532.48;559.1;532.48;559.1;RS;;RA11;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BJ03 061;;liksisenatid;20 mcg;177.49;186.37;P;sanofi-aventis groupe;Sanofi-Aventis Deutchland GmbH;Lyxumia;otop. za inj., brizg. napunj. 1x3 ml (10 mcg/doza);266.24;279.55;266.24;279.55;RS;;RA11;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BJ03 062;;liksisenatid;20 mcg;88.75;93.18;P;sanofi-aventis groupe;Sanofi-Aventis Deutchland GmbH;Lyxumia;otop. za inj., brizg. napunj. 2x3 ml (20 mcg/doza);266.24;279.55;532.48;559.1;RS;;RA11;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BX02 103;;repaglinid;4 mg;0.97;1.02;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Reodon;tbl. 90x2 mg;0.48;0.5;43.5;45.68;R;;RA10;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BX02 111;;repaglinid;4 mg;0.97;1.02;O;Belupo d.d.;Belupo;Reglinid;tbl. 90x0.5 mg;0.12;0.13;10.88;11.42;R;;RA10;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BX02 112;;repaglinid;4 mg;0.97;1.02;O;Belupo d.d.;Belupo;Reglinid;tbl. 90x1 mg;0.24;0.25;21.75;22.84;R;;RA10;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BX02 113;;repaglinid;4 mg;0.97;1.02;O;Belupo d.d.;Belupo;Reglinid;tbl. 90x2 mg;0.48;0.5;43.5;45.68;R;;RA10;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BX02 127;;repaglinid;4 mg;0.92;0.96;O;PharmaS d.o.o.;PharmaS d.o.o.;Repaglinid PharmaS;tbl. 90x2 mg;0.46;0.48;41.21;43.27;R;;RA10;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BX02 181;;repaglinid;4 mg;0.87;0.91;O;Accord Healthcare Ltd;Accord Healthcare Limited;Repaglinid Accord;tbl. 90x0.5 mg;0.11;0.11;9.79;10.28;R;;RA10;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BX02 182;;repaglinid;4 mg;0.87;0.91;O;Accord Healthcare Ltd;Accord Healthcare Limited;Repaglinid Accord;tbl. 90x1 mg;0.22;0.23;19.58;20.56;R;;RA10;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A10BX02 183;;repaglinid;4 mg;0.87;0.91;O;Accord Healthcare Ltd;Accord Healthcare Limited;Repaglinid Accord;tbl. 90x2 mg;0.44;0.46;39.15;41.11;R;;RA10;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A10B;Oralni antidijabetici;osnovna
A11CC02 251;;dihidrotahisterol;1 mg;;;O;;;;;;;;;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A11;Vitamini;osnovna
A11CC04 051;DS;kalcitriol;1 mcg;;;P;;;;;;;;;;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A11;Vitamini;osnovna
A11CC05 201;;kolekalciferol;20 mcg;;;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Plivit D3;boč. 1x10 ml (4.000 i.j./ml);16.73;17.57;16.73;17.57;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A11;Vitamini;osnovna
A11CC05 261;;kolekalciferol;20 mcg;;0;O;Fresenius Kabi d.o.o.;Fresenius Kabi;Oleovit D3;oralne kapi, boč. 1x12.5 ml (14400 i.j./ml);52.7;55.34;52.7;55.34;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A11;Vitamini;osnovna
A11CC05 271;;kolekalciferol;20 mcg;0.21;0.22;O;PROXIMUM d.o.o.;SMB Technology S.A.;D-VITAL;oralna otop., amp. 4x06.5 mg/ml (25000 i.j./ml);6.59;6.92;26.35;27.67;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A11;Vitamini;osnovna
A11EA01 051;DS;vitamini B kompleksa;;;;P;;;;;;;;;;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A11;Vitamini;osnovna
A11HA03 052;DS;tokoferol;0.2 g;;;P;;;;;;;;;;NA901;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A11;Vitamini;osnovna
A12AA02 051;PR;kalcij-glukobionat;;;;P;;;;;;;;;;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A12;Nadomjesci minerala;osnovna
A12AA04 131;;kalcij-karbonat;3 g;2.78;2.92;O;KRKA-FARMA d.o.o.;Krka d.d.;Kalcijev karbonat;tbl. 50x1 g;0.93;0.97;46.33;48.65;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A12;Nadomjesci minerala;osnovna
A12BA01 111;;kalij-klorid;3 g;4.56;4.79;O;Belupo d.d.;Belupo;Kalijev klorid Belupo;tbl. za oral. otop. 30x500 mg;0.76;0.8;22.81;23.95;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A12;Nadomjesci minerala;osnovna
A12BA01 112;;kalij-klorid;3 g;4.56;4.79;O;Jadran - Galenski Laboratorij d.d.;JGL d.d.;Kalijev klorid Jadran;tbl. 30x500 mg;0.76;0.8;22.81;23.95;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A12;Nadomjesci minerala;osnovna
A12BA02 321;;kalijev citrat;;;;O;Jadran - Galenski Laboratorij d.d.;JGL d.d.;Kalijev citrat JGL;praš. za oral. otop., vreć. 15x1 (20.5 mg/ml);1.4;1.47;21;22.05;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A12;Nadomjesci minerala;osnovna
A12BA30 161;;kalij-citrat + kalij-hidrogenkarbonat;;;;O;DESMA d.o.o.;Nordmark Arzneimittel GmbH;Kalinor;tbl. šum. 15x1 tbl. (2.17 g+2 g/tbl.);2;2.1;30;31.5;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A12;Nadomjesci minerala;osnovna
A16AA01 051;DS;levokarnitin;2 g;;;P;;;;;;;;;;NA902;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AA01 151;KL;levokarnitin;2 g;;;O;;;;;;;;;;NA902;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AB02 062;KL;imigluceraza;300 j.;8238.43;8650.35;P;Genzyme Europe B.V.;Genzyme;Cerezyme;praš. za konc. za otop. za inf., stakl. boč. 1x400 j.;10984.57;11533.80;10984.57;11533.80;;NA903;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AB03 062;KL;agalzidaza alfa;1 mg;3536.19;3713.00;P;Shire Human Genetic Therapies AB;Shire HGT;Replagal;konc. za inf., boč. 1x3.5 mg/3.5 ml;12376.65;12995.48;12376.65;12995.48;;NA904;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AB04 061;KL;agalzidaza beta;5 mg;3501.84;3676.93;P;Genzyme Europe B.V.;Genzyme;Fabrazyme;praš. za konc. za otop. za inf., boč. stakl. 1x35 mg;24512.86;25738.50;24512.86;25738.50;;NA904;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AB04 062;KL;agalzidaza beta;5 mg;3630.96;3812.51;P;Genzyme Europe B.V.;Genzyme;Fabrazyme;praš. za konc. za otop. za inf., boč. stakl. 1x5 mg;3630.96;3812.51;3630.96;3812.51;;NA904;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AB05 061;KL;laronidaza;1 T j.;9946.22;10443.53;P;Genzyme Europe B.V.;Genzyme;Aldurazyme;praš. za konc. za otop. za inf., boč. stakl. 1x500 j./5 ml (100j./ml);4973.11;5221.77;4973.11;5221.77;;NA906;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AB07 061;KL;alglukozidaza alfa;0.1 g;7658.56;8041.49;P;Genzyme Europe B.V.;Genzyme;Myozyme;praš. za konc. za otop. za inf., boč. 1x50 mg;3829.28;4020.74;3829.28;4020.74;;NA907;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AB08 061;KL;galsulfaza;;;;P;BioMarin Europe Ltd.;Catalent;Naglazyme;konc. otop. za inf., boč. 1x5 mg/5 ml;10701.53;11236.61;10701.53;11236.61;;NA908;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AB09 071;KL;idursulfaza;;;;P;Shire Human Genetic Therapies AB;Shire HGT;Elaprase;boč. stakl. 1x6 mg/3 ml (2 mg/ml);20405.51;21425.79;20405.51;21425.79;;NA909;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AB10 061;KL;velagluceraza alfa;300 U;8238.43;8650.35;P;Shire Pharmaceuticals Ireland Limited;Shire HGT;Vpriv;praš. za otop. za inf., boč. stakl. 1x400 U/20 ml (nakon rekonstitucije 100 U/1ml);10984.57;11533.80;10984.57;11533.80;;NA903;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AX04 151;KL;nitizinon;20 mg;;;O;;;;;;;;;;NA905;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AX10 161;KL;eliglustat;;;;O;Genzyme Europe B.V.;Genzyme Ireland Ltd.;Cerdelga;caps. tvrda 56x84 mg;2745.94;2883.24;153772.64;161461.27;;NA910;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
A16AX14 161;KL;migalastat;;;;O;Amicus Therapeutics UK Limited;Almac Pharma Services Limited;Galafold;caps. tvrde 14x123 mg;7809.29;8199.75;109330.00;114796.50;;NA911;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A16;Ostali lijekovi s djelovanjem na probavni sustav i mijenu tvari;osnovna
B01AA03 162;;varfarin;7.5 mg;0.75;0.79;O;Medis Adria d.o.o.;Orion;Martefarin;tbl. 100x3 mg;0.3;0.32;29.66;31.14;R;;;B;Lijekovi s djelovanjem na krv i krvotvorne organe;B01;Lijekovi s djelovanjem na mehanizam zgrušavanja krvi (otežavanje zgrušavanja);osnovna
B01AB01 011;DS;heparin;10 T i.j.;11.68;12.26;P;Belupo d.d.;Belupo;Heparin Belupo;otop. za inj., lio amp. 10x25.000 i.j./5 ml;29.2;30.66;292;306.6;;;;B;Lijekovi s djelovanjem na krv i krvotvorne organe;B01AB;Heparini;osnovna
B01AB01 061;DS;heparinnatrij;10 T i.j.;8.18;8.58;P;Panpharma;Rotexmedica GmbH Arzneimittelwerk;Heparin Panpharma;otop. za inj. ili inf., 5.000 i.j./ml (10x5 ml);20.44;21.46;204.4;214.62;;;;B;Lijekovi s djelovanjem na krv i krvotvorne organe;B01AB;Heparini;osnovna
B01AB02 061;DS;antitrombin III;2.1 T i.j.;3969.00;4167.45;P;CSL Behring GmbH;CSL Behring GmbH;Kybernin;lio boč. 1x500 i.j./10ml;945;992.25;945;992.25;;NB101;;B;Lijekovi s djelovanjem na krv i krvotvorne organe;B01AB;Heparini;osnovna
B01AB02 071;DS;antitrombin III;2.1 T i.j.;3969.00;4167.45;P;Jana Pharm d.o.o.;Octapharma;ATenativ;lio boč. 1x500 i.j./10ml;945;992.25;945;992.25;;NB101;;B;Lijekovi s djelovanjem na krv i krvotvorne organe;B01AB;Heparini;osnovna
B01AB02 081;DS;antitrombin III;2.1 T i.j.;3969.00;4167.45;P;Agmar d.o.o.;Baxter;Anithrombin III Immuno 500 i.j.;lio. praš. i otap. inj. ili inf. 1x500 i.j./10 ml;945;992.25;945;992.25;;NB101;;B;Lijekovi s djelovanjem na krv i krvotvorne organe;B01AB;Heparini;osnovna
B01AB02 082;DS;antitrombin III;2.1 T i.j.;3969.00;4167.45;P;Agmar d.o.o.;Baxter AG;Antithrombin III Baxter 50 IU/ml;praš. i otap. za otop. za inj./inf., boč. 1x10 ml (50 IU/ml);945;992.25;945;992.25;;NB101;;B;Lijekovi s djelovanjem na krv i krvotvorne organe;B01AB;Heparini;osnovna
B01AB04 071;DSPO;dalteparin;2.5 T i.j.;10.77;11.31;P;Pfizer Croatia d.o.o.;Pfizer;Fragmin;štrc. 10x2.500 i.j./0.2ml;10.77;11.31;107.69;113.07;;NB102;;B;Lijekovi s djelovanjem na krv i krvotvorne organe;B01AB;Heparini;osnovna
B01AB04 072;DSPO;dalteparin;2.5 T i.j.;9.98;10.48;P;Pfizer Croatia d.o.o.;Pfizer;Fragmin;štrc. 10x5.000 i.j./0.2ml;19.95;20.95;199.53;209.51;;NB102;;B;Lijekovi s djelovanjem na krv i krvotvorne organe;B01AB;Heparini;osnovna
B01AB04 073;DSPO;dalteparin;2.5 T i.j.;8.33;8.75;P;Pfizer Croatia d.o.o.;Pfizer;Fragmin;štrc. 10x7.500 i.j./0.3ml;25;26.25;249.97;262.47;;NB102;;B;Lijekovi s djelovanjem na krv i krvotvorne organe;B01AB;Heparini;osnovna
B01AB04 074;DSPO;dalteparin;2.5 T i.j.;7.76;8.15;P;Pfizer Croatia d.o.o.;Pfizer;Fragmin;amp.10x10.000 i.j./1 ml;31.03;32.58;310.25;325.76;;NB102;;B;Lijekovi s djelovanjem na krv i krvotvorne organe;B01AB;Heparini;osnovna
